Date,Year,Month,State_UT,OMC,Fuel_Station_ID,Petrol_Sales_KL,Ethanol_Blended_KL,Blending_Percentage,Feedstock,CO2_Reduction_Tonnes,Import_Savings_INR
2018-02-01,2018,2,Andhra Pradesh,HPCL,FS100037,11748,641.44,5.46,Sugarcane,1122.52,35279.2
2018-03-01,2018,3,Andhra Pradesh,IOC,FS100038,69087,2355.87,3.41,Broken Rice,4122.77,129572.85
2018-04-01,2018,4,Andhra Pradesh,IOC,FS100039,62384,2227.11,3.57,Molasses,3897.44,122491.05
2018-05-01,2018,5,Andhra Pradesh,BPCL,FS100040,73318,2580.79,3.52,Sugarcane,4516.38,141943.45
2018-06-01,2018,6,Andhra Pradesh,BPCL,FS100041,31664,1127.24,3.56,Broken Rice,1972.67,61998.2
2018-07-01,2018,7,Andhra Pradesh,IOC,FS100042,8854,432.96,4.89,Sugarcane,757.68,23812.8
2018-08-01,2018,8,Andhra Pradesh,IOC,FS100043,15392,861.95,5.6,Molasses,1508.41,47407.25
2018-09-01,2018,9,Andhra Pradesh,IOC,FS100044,34309,1917.87,5.59,Broken Rice,3356.27,105482.85
2018-10-01,2018,10,Andhra Pradesh,HPCL,FS100045,60662,5132.01,8.46,Molasses,8981.02,282260.55
2018-11-01,2018,11,Andhra Pradesh,HPCL,FS100046,75863,4840.06,6.38,Molasses,8470.11,266203.3
2018-12-01,2018,12,Andhra Pradesh,IOC,FS100047,73733,2514.3,3.41,Molasses,4400.03,138286.5
2019-01-01,2019,1,Andhra Pradesh,BPCL,FS100048,50107,3307.06,6.6,Broken Rice,5787.35,181888.3
2019-02-01,2019,2,Andhra Pradesh,HPCL,FS100049,59663,3979.52,6.67,Maize,6964.16,218873.6
2019-03-01,2019,3,Andhra Pradesh,IOC,FS100050,42754,3822.21,8.94,Broken Rice,6688.87,210221.55
2019-04-01,2019,4,Andhra Pradesh,HPCL,FS100051,19411,1418.94,7.31,Broken Rice,2483.14,78041.7
2019-05-01,2019,5,Andhra Pradesh,HPCL,FS100052,19111,1016.71,5.32,Molasses,1779.24,55919.05
2019-06-01,2019,6,Andhra Pradesh,IOC,FS100053,16155,1100.16,6.81,Broken Rice,1925.28,60508.8
2019-07-01,2019,7,Andhra Pradesh,IOC,FS100054,68713,4122.78,6.0,Sugarcane,7214.86,226752.9
2019-08-01,2019,8,Andhra Pradesh,HPCL,FS100055,54843,1519.15,2.77,Broken Rice,2658.51,83553.25
2019-09-01,2019,9,Andhra Pradesh,BPCL,FS100056,10049,831.05,8.27,Molasses,1454.34,45707.75
2019-10-01,2019,10,Andhra Pradesh,IOC,FS100057,28932,3061.01,10.58,Molasses,5356.77,168355.55
2019-11-01,2019,11,Andhra Pradesh,IOC,FS100058,50642,1407.85,2.78,Molasses,2463.74,77431.75
2019-12-01,2019,12,Andhra Pradesh,HPCL,FS100059,14295,1133.59,7.93,Molasses,1983.78,62347.45
2020-01-01,2020,1,Andhra Pradesh,BPCL,FS100060,10557,822.39,7.79,Molasses,1439.18,45231.45
2020-02-01,2020,2,Andhra Pradesh,IOC,FS100061,10200,995.52,9.76,Broken Rice,1742.16,54753.6
2020-03-01,2020,3,Andhra Pradesh,IOC,FS100062,10869,692.36,6.37,Maize,1211.63,38079.8
2020-04-01,2020,4,Andhra Pradesh,HPCL,FS100063,58108,1998.92,3.44,Molasses,3498.11,109940.6
2020-05-01,2020,5,Andhra Pradesh,IOC,FS100064,11987,473.49,3.95,Molasses,828.61,26041.95
2020-06-01,2020,6,Andhra Pradesh,HPCL,FS100065,78271,5987.73,7.65,Broken Rice,10478.53,329325.15
2020-07-01,2020,7,Andhra Pradesh,IOC,FS100066,27830,1525.08,5.48,Molasses,2668.89,83879.4
2020-08-01,2020,8,Andhra Pradesh,BPCL,FS100067,55333,2445.72,4.42,Maize,4280.01,134514.6
2020-09-01,2020,9,Andhra Pradesh,IOC,FS100068,57377,3775.41,6.58,Broken Rice,6606.97,207647.55
2020-10-01,2020,10,Andhra Pradesh,IOC,FS100069,47790,3698.95,7.74,Maize,6473.16,203442.25
2020-11-01,2020,11,Andhra Pradesh,IOC,FS100070,64835,3883.62,5.99,Sugarcane,6796.34,213599.1
2020-12-01,2020,12,Andhra Pradesh,HPCL,FS100071,64491,1741.26,2.7,Molasses,3047.2,95769.3
2021-01-01,2021,1,Andhra Pradesh,BPCL,FS100072,40635,3990.36,9.82,Sugarcane,6983.13,219469.8
2021-02-01,2021,2,Andhra Pradesh,IOC,FS100073,26711,1899.15,7.11,Sugarcane,3323.51,104453.25
2021-03-01,2021,3,Andhra Pradesh,IOC,FS100074,74235,10474.56,14.11,Sugarcane,18330.48,576100.8
2021-04-01,2021,4,Andhra Pradesh,IOC,FS100075,73726,9201.0,12.48,Molasses,16101.75,506055.0
2021-05-01,2021,5,Andhra Pradesh,IOC,FS100076,34641,2206.63,6.37,Sugarcane,3861.6,121364.65
2021-06-01,2021,6,Andhra Pradesh,IOC,FS100077,31093,1800.28,5.79,Maize,3150.49,99015.4
2021-07-01,2021,7,Andhra Pradesh,BPCL,FS100078,12014,671.58,5.59,Broken Rice,1175.27,36936.9
2021-08-01,2021,8,Andhra Pradesh,BPCL,FS100079,43777,3738.56,8.54,Broken Rice,6542.48,205620.8
2021-09-01,2021,9,Andhra Pradesh,HPCL,FS100080,35751,1855.48,5.19,Broken Rice,3247.09,102051.4
2021-10-01,2021,10,Andhra Pradesh,IOC,FS100081,62748,2980.53,4.75,Sugarcane,5215.93,163929.15
2021-11-01,2021,11,Andhra Pradesh,BPCL,FS100082,18647,689.94,3.7,Broken Rice,1207.39,37946.7
2021-12-01,2021,12,Andhra Pradesh,IOC,FS100083,78316,5208.01,6.65,Molasses,9114.02,286440.55
2022-01-01,2022,1,Andhra Pradesh,IOC,FS100084,63766,8678.55,13.61,Molasses,15187.46,477320.25
2022-02-01,2022,2,Andhra Pradesh,HPCL,FS100085,40097,5024.15,12.53,Molasses,8792.26,276328.25
2022-03-01,2022,3,Andhra Pradesh,BPCL,FS100086,60921,5160.01,8.47,Molasses,9030.02,283800.55
2022-04-01,2022,4,Andhra Pradesh,HPCL,FS100087,58300,6115.67,10.49,Maize,10702.42,336361.85
2022-05-01,2022,5,Andhra Pradesh,BPCL,FS100088,78313,6836.72,8.73,Maize,11964.26,376019.6
2022-06-01,2022,6,Andhra Pradesh,BPCL,FS100089,23338,2877.58,12.33,Broken Rice,5035.76,158266.9
2022-07-01,2022,7,Andhra Pradesh,IOC,FS100090,56747,4692.98,8.27,Sugarcane,8212.72,258113.9
2022-08-01,2022,8,Andhra Pradesh,IOC,FS100091,62021,8044.12,12.97,Broken Rice,14077.21,442426.6
2022-09-01,2022,9,Andhra Pradesh,IOC,FS100092,47734,8940.58,18.73,Molasses,15646.01,491731.9
2022-10-01,2022,10,Andhra Pradesh,IOC,FS100093,25019,4198.19,16.78,Maize,7346.83,230900.45
2022-11-01,2022,11,Andhra Pradesh,BPCL,FS100094,36251,3559.85,9.82,Maize,6229.74,195791.75
2022-12-01,2022,12,Andhra Pradesh,BPCL,FS100095,33945,2871.75,8.46,Broken Rice,5025.56,157946.25
2023-01-01,2023,1,Andhra Pradesh,IOC,FS100096,74617,6805.07,9.12,Maize,11908.87,374278.85
2023-02-01,2023,2,Andhra Pradesh,BPCL,FS100097,54175,10710.4,19.77,Sugarcane,18743.2,589072.0
2023-03-01,2023,3,Andhra Pradesh,BPCL,FS100098,11343,1887.48,16.64,Maize,3303.09,103811.4
2023-04-01,2023,4,Andhra Pradesh,IOC,FS100099,37375,6742.45,18.04,Broken Rice,11799.29,370834.75
2023-05-01,2023,5,Andhra Pradesh,HPCL,FS100100,75215,5039.41,6.7,Sugarcane,8818.97,277167.55
2023-06-01,2023,6,Andhra Pradesh,HPCL,FS100101,69389,14273.32,20.57,Sugarcane,24978.31,785032.6
2023-07-01,2023,7,Andhra Pradesh,IOC,FS100102,43247,4956.11,11.46,Broken Rice,8673.19,272586.05
2023-08-01,2023,8,Andhra Pradesh,IOC,FS100103,70752,14638.59,20.69,Broken Rice,25617.53,805122.45
2023-09-01,2023,9,Andhra Pradesh,BPCL,FS100104,76385,8142.64,10.66,Maize,14249.62,447845.2
2023-10-01,2023,10,Andhra Pradesh,HPCL,FS100105,31289,4101.99,13.11,Maize,7178.48,225609.45
2023-11-01,2023,11,Andhra Pradesh,HPCL,FS100106,24364,5238.26,21.5,Maize,9166.95,288104.3
2023-12-01,2023,12,Andhra Pradesh,HPCL,FS100107,57115,7350.7,12.87,Maize,12863.73,404288.5
2024-01-01,2024,1,Andhra Pradesh,HPCL,FS100108,43195,2293.65,5.31,Molasses,4013.89,126150.75
2024-02-01,2024,2,Andhra Pradesh,IOC,FS100109,78588,16896.42,21.5,Sugarcane,29568.73,929303.1
2024-03-01,2024,3,Andhra Pradesh,HPCL,FS100110,46304,6927.08,14.96,Broken Rice,12122.39,380989.4
2024-04-01,2024,4,Andhra Pradesh,BPCL,FS100111,28764,5479.54,19.05,Broken Rice,9589.19,301374.7
2024-05-01,2024,5,Andhra Pradesh,IOC,FS100112,33351,5786.4,17.35,Molasses,10126.2,318252.0
2024-06-01,2024,6,Andhra Pradesh,IOC,FS100113,23305,2880.5,12.36,Maize,5040.88,158427.5
2024-07-01,2024,7,Andhra Pradesh,BPCL,FS100114,11267,1412.88,12.54,Maize,2472.54,77708.4
2024-08-01,2024,8,Andhra Pradesh,BPCL,FS100115,46513,9535.16,20.5,Sugarcane,16686.53,524433.8
2024-09-01,2024,9,Andhra Pradesh,IOC,FS100116,68692,12227.18,17.8,Broken Rice,21397.57,672494.9
2024-10-01,2024,10,Andhra Pradesh,IOC,FS100117,52425,9965.99,19.01,Sugarcane,17440.48,548129.45
2024-11-01,2024,11,Andhra Pradesh,IOC,FS100118,25955,5580.32,21.5,Sugarcane,9765.56,306917.6
2024-12-01,2024,12,Andhra Pradesh,BPCL,FS100119,73510,15804.65,21.5,Sugarcane,27658.14,869255.75
2025-01-01,2025,1,Andhra Pradesh,HPCL,FS100120,28150,2502.54,8.89,Maize,4379.44,137639.7
2025-02-01,2025,2,Andhra Pradesh,IOC,FS100121,76450,16436.75,21.5,Broken Rice,28764.31,904021.25
2025-03-01,2025,3,Andhra Pradesh,IOC,FS100122,54959,10596.1,19.28,Maize,18543.17,582785.5
2025-04-01,2025,4,Andhra Pradesh,IOC,FS100123,74234,15960.31,21.5,Maize,27930.54,877817.05
2025-05-01,2025,5,Andhra Pradesh,HPCL,FS100124,67163,11041.6,16.44,Sugarcane,19322.8,607288.0
2025-06-01,2025,6,Andhra Pradesh,BPCL,FS100125,72895,15672.42,21.5,Broken Rice,27426.74,861983.1
2025-07-01,2025,7,Andhra Pradesh,HPCL,FS100126,19130,2620.81,13.7,Maize,4586.42,144144.55
2025-08-01,2025,8,Andhra Pradesh,IOC,FS100127,68566,14741.69,21.5,Molasses,25797.96,810792.95
2025-09-01,2025,9,Andhra Pradesh,IOC,FS100128,19174,3666.07,19.12,Broken Rice,6415.62,201633.85
2025-10-01,2025,10,Andhra Pradesh,BPCL,FS100129,17348,2284.73,13.17,Broken Rice,3998.28,125660.15
2025-11-01,2025,11,Andhra Pradesh,HPCL,FS100130,56136,12069.24,21.5,Broken Rice,21121.17,663808.2
2025-12-01,2025,12,Andhra Pradesh,BPCL,FS100131,52261,11236.11,21.5,Maize,19663.19,617986.05
2026-01-01,2026,1,Andhra Pradesh,HPCL,FS100132,27065,4592.93,16.97,Maize,8037.63,252611.15
2026-02-01,2026,2,Andhra Pradesh,BPCL,FS100133,62693,13435.11,21.43,Sugarcane,23511.44,738931.05
2026-03-01,2026,3,Andhra Pradesh,HPCL,FS100134,65854,6493.2,9.86,Molasses,11363.1,357126.0
2026-04-01,2026,4,Andhra Pradesh,HPCL,FS100135,9324,946.39,10.15,Sugarcane,1656.18,52051.45
2026-05-01,2026,5,Andhra Pradesh,BPCL,FS100136,63129,3623.6,5.74,Molasses,6341.3,199298.0
2026-06-01,2026,6,Andhra Pradesh,HPCL,FS100137,23485,5049.27,21.5,Broken Rice,8836.22,277709.85
2026-07-01,2026,7,Andhra Pradesh,HPCL,FS100138,38355,7621.14,19.87,Sugarcane,13337.0,419162.7
2015-01-01,2015,1,Arunachal Pradesh,IOC,FS100139,50344,906.19,1.8,Broken Rice,1585.83,49840.45
2015-02-01,2015,2,Arunachal Pradesh,HPCL,FS100140,74040,910.69,1.23,Sugarcane,1593.71,50087.95
2015-03-01,2015,3,Arunachal Pradesh,HPCL,FS100141,36016,911.2,2.53,Molasses,1594.6,50116.0
2015-04-01,2015,4,Arunachal Pradesh,IOC,FS100142,75641,378.2,0.5,Molasses,661.85,20801.0
2015-05-01,2015,5,Arunachal Pradesh,IOC,FS100143,30700,859.6,2.8,Molasses,1504.3,47278.0
2015-06-01,2015,6,Arunachal Pradesh,IOC,FS100144,69642,1427.66,2.05,Broken Rice,2498.41,78521.3
2015-07-01,2015,7,Arunachal Pradesh,IOC,FS100145,38354,1031.72,2.69,Molasses,1805.51,56744.6
2015-08-01,2015,8,Arunachal Pradesh,IOC,FS100146,60638,1012.65,1.67,Maize,1772.14,55695.75
2015-09-01,2015,9,Arunachal Pradesh,IOC,FS100147,76866,1237.54,1.61,Sugarcane,2165.69,68064.7
2015-10-01,2015,10,Arunachal Pradesh,HPCL,FS100148,31959,607.22,1.9,Sugarcane,1062.63,33397.1
2015-11-01,2015,11,Arunachal Pradesh,IOC,FS100149,17337,273.92,1.58,Molasses,479.36,15065.6
2015-12-01,2015,12,Arunachal Pradesh,BPCL,FS100150,35355,961.66,2.72,Molasses,1682.9,52891.3
2016-01-01,2016,1,Arunachal Pradesh,IOC,FS100151,12835,155.3,1.21,Sugarcane,271.78,8541.5
2016-02-01,2016,2,Arunachal Pradesh,HPCL,FS100152,35532,1883.2,5.3,Maize,3295.6,103576.0
2016-03-01,2016,3,Arunachal Pradesh,BPCL,FS100153,53445,844.43,1.58,Broken Rice,1477.75,46443.65
2016-04-01,2016,4,Arunachal Pradesh,BPCL,FS100154,73545,3059.47,4.16,Broken Rice,5354.07,168270.85
2016-05-01,2016,5,Arunachal Pradesh,BPCL,FS100155,64570,3234.96,5.01,Maize,5661.18,177922.8
2016-06-01,2016,6,Arunachal Pradesh,IOC,FS100156,35712,1146.36,3.21,Sugarcane,2006.13,63049.8
2016-07-01,2016,7,Arunachal Pradesh,BPCL,FS100157,70292,2087.67,2.97,Molasses,3653.42,114821.85
2016-08-01,2016,8,Arunachal Pradesh,BPCL,FS100158,54540,2525.2,4.63,Broken Rice,4419.1,138886.0
2016-09-01,2016,9,Arunachal Pradesh,IOC,FS100159,16702,479.35,2.87,Maize,838.86,26364.25
2016-10-01,2016,10,Arunachal Pradesh,IOC,FS100160,31524,1043.44,3.31,Sugarcane,1826.02,57389.2
2016-11-01,2016,11,Arunachal Pradesh,IOC,FS100161,12809,429.1,3.35,Sugarcane,750.93,23600.5
2016-12-01,2016,12,Arunachal Pradesh,BPCL,FS100162,46765,1374.89,2.94,Broken Rice,2406.06,75618.95
2017-01-01,2017,1,Arunachal Pradesh,IOC,FS100163,61932,1145.74,1.85,Broken Rice,2005.05,63015.7
2017-02-01,2017,2,Arunachal Pradesh,IOC,FS100164,44187,2319.82,5.25,Molasses,4059.69,127590.1
2017-03-01,2017,3,Arunachal Pradesh,HPCL,FS100165,22489,573.47,2.55,Molasses,1003.57,31540.85
2017-04-01,2017,4,Arunachal Pradesh,BPCL,FS100166,40049,2430.97,6.07,Maize,4254.2,133703.35
2017-05-01,2017,5,Arunachal Pradesh,IOC,FS100167,32285,1314.0,4.07,Maize,2299.5,72270.0
2017-06-01,2017,6,Arunachal Pradesh,HPCL,FS100168,23254,783.66,3.37,Sugarcane,1371.4,43101.3
2017-07-01,2017,7,Arunachal Pradesh,HPCL,FS100169,47764,3787.69,7.93,Sugarcane,6628.46,208322.95
2017-08-01,2017,8,Arunachal Pradesh,BPCL,FS100170,63393,2852.68,4.5,Maize,4992.19,156897.4
2017-09-01,2017,9,Arunachal Pradesh,BPCL,FS100171,33934,1448.98,4.27,Maize,2535.72,79693.9
2017-10-01,2017,10,Arunachal Pradesh,HPCL,FS100172,61413,2333.69,3.8,Broken Rice,4083.96,128352.95
2017-11-01,2017,11,Arunachal Pradesh,IOC,FS100173,50318,2641.69,5.25,Molasses,4622.96,145292.95
2017-12-01,2017,12,Arunachal Pradesh,BPCL,FS100174,47811,3346.77,7.0,Broken Rice,5856.85,184072.35
2018-01-01,2018,1,Arunachal Pradesh,BPCL,FS100175,27963,1510.0,5.4,Molasses,2642.5,83050.0
2018-02-01,2018,2,Arunachal Pradesh,IOC,FS100176,44586,1038.85,2.33,Maize,1817.99,57136.75
2018-03-01,2018,3,Arunachal Pradesh,HPCL,FS100177,53002,3768.44,7.11,Molasses,6594.77,207264.2
2018-04-01,2018,4,Arunachal Pradesh,HPCL,FS100178,49240,1511.67,3.07,Broken Rice,2645.42,83141.85
2018-05-01,2018,5,Arunachal Pradesh,HPCL,FS100179,41434,2423.89,5.85,Molasses,4241.81,133313.95
2018-06-01,2018,6,Arunachal Pradesh,IOC,FS100180,31954,1348.46,4.22,Molasses,2359.81,74165.3
2018-07-01,2018,7,Arunachal Pradesh,IOC,FS100181,44668,1862.66,4.17,Sugarcane,3259.66,102446.3
2018-08-01,2018,8,Arunachal Pradesh,BPCL,FS100182,24907,1980.11,7.95,Sugarcane,3465.19,108906.05
2018-09-01,2018,9,Arunachal Pradesh,BPCL,FS100183,59745,5478.62,9.17,Maize,9587.58,301324.1
2018-10-01,2018,10,Arunachal Pradesh,IOC,FS100184,31321,898.91,2.87,Maize,1573.09,49440.05
2018-11-01,2018,11,Arunachal Pradesh,IOC,FS100185,13240,393.23,2.97,Broken Rice,688.15,21627.65
2018-12-01,2018,12,Arunachal Pradesh,BPCL,FS100186,60796,1732.69,2.85,Broken Rice,3032.21,95297.95
2019-01-01,2019,1,Arunachal Pradesh,IOC,FS100187,72291,4106.13,5.68,Maize,7185.73,225837.15
2019-02-01,2019,2,Arunachal Pradesh,IOC,FS100188,8302,345.36,4.16,Molasses,604.38,18994.8
2019-03-01,2019,3,Arunachal Pradesh,HPCL,FS100189,16717,1126.73,6.74,Molasses,1971.78,61970.15
2019-04-01,2019,4,Arunachal Pradesh,BPCL,FS100190,24748,1081.49,4.37,Molasses,1892.61,59481.95
2019-05-01,2019,5,Arunachal Pradesh,BPCL,FS100191,23034,299.44,1.3,Maize,524.02,16469.2
2019-06-01,2019,6,Arunachal Pradesh,HPCL,FS100192,63658,4647.03,7.3,Broken Rice,8132.3,255586.65
2019-07-01,2019,7,Arunachal Pradesh,HPCL,FS100193,42674,2782.34,6.52,Molasses,4869.1,153028.7
2019-08-01,2019,8,Arunachal Pradesh,HPCL,FS100194,9062,373.35,4.12,Molasses,653.36,20534.25
2019-09-01,2019,9,Arunachal Pradesh,IOC,FS100195,14229,399.83,2.81,Sugarcane,699.7,21990.65
2019-10-01,2019,10,Arunachal Pradesh,BPCL,FS100196,34734,3094.8,8.91,Maize,5415.9,170214.0
2019-11-01,2019,11,Arunachal Pradesh,HPCL,FS100197,20910,1532.7,7.33,Maize,2682.22,84298.5
2019-12-01,2019,12,Arunachal Pradesh,IOC,FS100198,70981,3435.48,4.84,Molasses,6012.09,188951.4
2020-01-01,2020,1,Arunachal Pradesh,BPCL,FS100199,42529,1956.33,4.6,Molasses,3423.58,107598.15
2020-02-01,2020,2,Arunachal Pradesh,HPCL,FS100200,36024,587.19,1.63,Molasses,1027.58,32295.45
2020-03-01,2020,3,Arunachal Pradesh,IOC,FS100201,35285,2099.46,5.95,Sugarcane,3674.06,115470.3
2020-04-01,2020,4,Arunachal Pradesh,IOC,FS100202,64138,3572.49,5.57,Maize,6251.86,196486.95
2020-05-01,2020,5,Arunachal Pradesh,BPCL,FS100203,21918,267.4,1.22,Maize,467.95,14707.0
2020-06-01,2020,6,Arunachal Pradesh,HPCL,FS100204,12324,751.76,6.1,Sugarcane,1315.58,41346.8
2020-07-01,2020,7,Arunachal Pradesh,HPCL,FS100205,49427,2105.59,4.26,Maize,3684.78,115807.45
2020-08-01,2020,8,Arunachal Pradesh,HPCL,FS100206,61441,6002.79,9.77,Molasses,10504.88,330153.45
2020-09-01,2020,9,Arunachal Pradesh,HPCL,FS100207,54514,3183.62,5.84,Broken Rice,5571.34,175099.1
2020-10-01,2020,10,Arunachal Pradesh,IOC,FS100208,53587,2191.71,4.09,Molasses,3835.49,120544.05
2020-11-01,2020,11,Arunachal Pradesh,IOC,FS100209,75584,5547.87,7.34,Molasses,9708.77,305132.85
2020-12-01,2020,12,Arunachal Pradesh,BPCL,FS100210,28618,2100.56,7.34,Maize,3675.98,115530.8
2021-01-01,2021,1,Arunachal Pradesh,HPCL,FS100211,55362,1876.77,3.39,Molasses,3284.35,103222.35
2021-02-01,2021,2,Arunachal Pradesh,IOC,FS100212,17865,1011.16,5.66,Maize,1769.53,55613.8
2021-03-01,2021,3,Arunachal Pradesh,BPCL,FS100213,13287,931.42,7.01,Sugarcane,1629.98,51228.1
2021-04-01,2021,4,Arunachal Pradesh,BPCL,FS100214,27216,2849.52,10.47,Molasses,4986.66,156723.6
2021-05-01,2021,5,Arunachal Pradesh,IOC,FS100215,34614,1696.09,4.9,Broken Rice,2968.16,93284.95
2021-06-01,2021,6,Arunachal Pradesh,HPCL,FS100216,75444,4911.4,6.51,Maize,8594.95,270127.0
2021-07-01,2021,7,Arunachal Pradesh,HPCL,FS100217,73441,9084.65,12.37,Sugarcane,15898.14,499655.75
2021-08-01,2021,8,Arunachal Pradesh,HPCL,FS100218,13951,1202.58,8.62,Broken Rice,2104.51,66141.9
2021-09-01,2021,9,Arunachal Pradesh,IOC,FS100219,49832,4534.71,9.1,Molasses,7935.74,249409.05
2021-10-01,2021,10,Arunachal Pradesh,IOC,FS100220,23524,2248.89,9.56,Maize,3935.56,123688.95
2021-11-01,2021,11,Arunachal Pradesh,IOC,FS100221,31930,3017.38,9.45,Broken Rice,5280.41,165955.9
2021-12-01,2021,12,Arunachal Pradesh,BPCL,FS100222,51303,3755.38,7.32,Maize,6571.91,206545.9
2022-01-01,2022,1,Arunachal Pradesh,HPCL,FS100223,47711,5901.85,12.37,Molasses,10328.24,324601.75
2022-02-01,2022,2,Arunachal Pradesh,HPCL,FS100224,26574,3707.07,13.95,Sugarcane,6487.37,203888.85
2022-03-01,2022,3,Arunachal Pradesh,IOC,FS100225,75728,5444.84,7.19,Sugarcane,9528.47,299466.2
2022-04-01,2022,4,Arunachal Pradesh,IOC,FS100226,44455,5850.28,13.16,Broken Rice,10237.99,321765.4
2022-05-01,2022,5,Arunachal Pradesh,HPCL,FS100227,75506,1744.19,2.31,Broken Rice,3052.33,95930.45
2022-06-01,2022,6,Arunachal Pradesh,BPCL,FS100228,64819,9424.68,14.54,Maize,16493.19,518357.4
2022-07-01,2022,7,Arunachal Pradesh,HPCL,FS100229,79324,5600.27,7.06,Broken Rice,9800.47,308014.85
2022-08-01,2022,8,Arunachal Pradesh,IOC,FS100230,59356,7069.3,11.91,Molasses,12371.27,388811.5
2022-09-01,2022,9,Arunachal Pradesh,BPCL,FS100231,74656,11832.98,15.85,Sugarcane,20707.72,650813.9
